,Affiliation,Year,Cpu,Cores,Nodes,Memory,Nets,Linpack,Peak,GRPperCapita,Num of Systems,Q1,Q2,Q3,Q4,Top10
0,ВЦ РАН,2004,Cpu: 9,Cores: 9,Nodes: 9,Memory: 3,Nets: 8,Linpack: 6,Peak: 6,GRPperCapita: 4,Num of Systems: 10,Q1: 10,Q2: 8,Q3: 8,Q4: 8,Top10: 10
1,ИБХ РАН,2004,Cpu: 1,Cores: 1,Nodes: 1,Memory: 4,Nets: 1,Linpack: 2,Peak: 2,GRPperCapita: 3,Num of Systems: 2,Q1: 2,Q2: 3,Q3: 3,Q4: 3,Top10: 1
2,ИВМ РАН,2004,Cpu: 8,Cores: 8,Nodes: 8,Memory: 8,Nets: 7,Linpack: 4,Peak: 6,GRPperCapita: 3,Num of Systems: 10,Q1: 6,Q2: 6,Q3: 8,Q4: 6,Top10: 5
3,ИВМиМГ СО РАН,2004,Cpu: 5,Cores: 5,Nodes: 6,Memory: 3,Nets: 6,Linpack: 9,Peak: 10,GRPperCapita: 9,Num of Systems: 9,Q1: 7,Q2: 10,Q3: 6,Q4: 5,Top10: 7
4,ИММ УРО РАН,2004,Cpu: 4,Cores: 4,Nodes: 5,Memory: 2,Nets: 6,Linpack: 3,Peak: 3,GRPperCapita: 7,Num of Systems: 8,Q1: 6,Q2: 5,Q3: 7,Q4: 4,Top10: 8
5,ИПС РАН,2004,Cpu: 3,Cores: 3,Nodes: 4,Memory: 7,Nets: 10,Linpack: 5,Peak: 5,GRPperCapita: 6,Num of Systems: 8,Q1: 9,Q2: 8,Q3: 10,Q4: 10,Top10: 9
6,ИПХФ РАН,2004,Cpu: 10,Cores: 10,Nodes: 10,Memory: 8,Nets: 10,Linpack: 10,Peak: 8,GRPperCapita: 8,Num of Systems: 7,Q1: 3,Q2: 1,Q3: 2,Q4: 2,Top10: 3
7,ИСП РАН,2004,Cpu: 8,Cores: 8,Nodes: 10,Memory: 10,Nets: 5,Linpack: 8,Peak: 9,GRPperCapita: 2,Num of Systems: 6,Q1: 10,Q2: 10,Q3: 9,Q4: 9,Top10: 10
8,КГПУ,2004,Cpu: 10,Cores: 10,Nodes: 8,Memory: 10,Nets: 9,Linpack: 10,Peak: 10,GRPperCapita: 5,Num of Systems: 6,Q1: 8,Q2: 9,Q3: 10,Q4: 10,Top10: 6
9,КГУ,2004,Cpu: 7,Cores: 7,Nodes: 7,Memory: 9,Nets: 4,Linpack: 8,Peak: 8,GRPperCapita: 10,Num of Systems: 5,Q1: 5,Q2: 4,Q3: 5,Q4: 6,Top10: 6
10,МГУ,2004,Cpu: 1,Cores: 1,Nodes: 1,Memory: 1,Nets: 1,Linpack: 1,Peak: 1,GRPperCapita: 1,Num of Systems: 1,Q1: 1,Q2: 1,Q3: 1,Q4: 1,Top10: 1
11,НИИ БМХ РАМН,2004,Cpu: 3,Cores: 3,Nodes: 3,Memory: 6,Nets: 8,Linpack: 7,Peak: 3,GRPperCapita: 1,Num of Systems: 4,Q1: 4,Q2: 6,Q3: 4,Q4: 8,Top10: 4
12,СПбГПУ,2004,Cpu: 6,Cores: 6,Nodes: 6,Memory: 6,Nets: 3,Linpack: 6,Peak: 7,GRPperCapita: 6,Num of Systems: 3,Q1: 1,Q2: 2,Q3: 1,Q4: 1,Top10: 2
13,ЮУрГУ,2004,Cpu: 2,Cores: 2,Nodes: 3,Memory: 1,Nets: 2,Linpack: 1,Peak: 1,GRPperCapita: 8,Num of Systems: 3,Q1: 8,Q2: 7,Q3: 6,Q4: 7,Top10: 8
14,ЮФУ,2004,Cpu: 6,Cores: 6,Nodes: 2,Memory: 5,Nets: 3,Linpack: 3,Peak: 4,GRPperCapita: 10,Num of Systems: 1,Q1: 3,Q2: 3,Q3: 3,Q4: 3,Top10: 3
15,ВЦ РАН,2005,Cpu: 10,Cores: 10,Nodes: 10,Memory: 9,Nets: 8,Linpack: 10,Peak: 10,GRPperCapita: 5,Num of Systems: 10,Q1: 6,Q2: 6,Q3: 6,Q4: 5,Top10: 6
16,ИБХ РАН,2005,Cpu: 4,Cores: 4,Nodes: 4,Memory: 2,Nets: 1,Linpack: 2,Peak: 2,GRPperCapita: 4,Num of Systems: 2,Q1: 2,Q2: 2,Q3: 4,Q4: 4,Top10: 2
17,ИБХ РАН,2005,Cpu: 3,Cores: 3,Nodes: 3,Memory: 1,Nets: 1,Linpack: 1,Peak: 1,GRPperCapita: 3,Num of Systems: 1,Q1: 1,Q2: 1,Q3: 3,Q4: 3,Top10: 1
18,ИВМ РАН,2005,Cpu: 8,Cores: 8,Nodes: 9,Memory: 7,Nets: 7,Linpack: 6,Peak: 6,GRPperCapita: 2,Num of Systems: 10,Q1: 7,Q2: 5,Q3: 10,Q4: 6,Top10: 8
19,ИВМиМГ СО РАН,2005,Cpu: 2,Cores: 2,Nodes: 2,Memory: 4,Nets: 6,Linpack: 6,Peak: 6,GRPperCapita: 9,Num of Systems: 9,Q1: 5,Q2: 10,Q3: 6,Q4: 8,Top10: 5
20,ИММ РАН,2005,Cpu: 5,Cores: 5,Nodes: 5,Memory: 5,Nets: 10,Linpack: 5,Peak: 3,GRPperCapita: 1,Num of Systems: 8,Q1: 6,Q2: 9,Q3: 8,Q4: 9,Top10: 6
21,ИММ УРО РАН,2005,Cpu: 7,Cores: 7,Nodes: 8,Memory: 8,Nets: 6,Linpack: 8,Peak: 7,GRPperCapita: 6,Num of Systems: 7,Q1: 9,Q2: 8,Q3: 9,Q4: 6,Top10: 7
22,ИПС РАН,2005,Cpu: 6,Cores: 6,Nodes: 7,Memory: 10,Nets: 10,Linpack: 10,Peak: 10,GRPperCapita: 7,Num of Systems: 6,Q1: 10,Q2: 10,Q3: 10,Q4: 10,Top10: 10
23,КазНЦ РАН,2005,Cpu: 1,Cores: 1,Nodes: 1,Memory: 3,Nets: 5,Linpack: 4,Peak: 5,GRPperCapita: 6,Num of Systems: 6,Q1: 8,Q2: 6,Q3: 5,Q4: 10,Top10: 9
24,МГУ,2005,Cpu: 1,Cores: 1,Nodes: 1,Memory: 1,Nets: 2,Linpack: 1,Peak: 1,GRPperCapita: 1,Num of Systems: 1,Q1: 1,Q2: 1,Q3: 1,Q4: 1,Top10: 1
25,ННГУ,2005,Cpu: 10,Cores: 10,Nodes: 10,Memory: 10,Nets: 9,Linpack: 9,Peak: 9,GRPperCapita: 10,Num of Systems: 5,Q1: 4,Q2: 3,Q3: 1,Q4: 1,Top10: 4
26,ЮУрГУ,2005,Cpu: 6,Cores: 6,Nodes: 6,Memory: 6,Nets: 4,Linpack: 3,Peak: 4,GRPperCapita: 8,Num of Systems: 4,Q1: 10,Q2: 7,Q3: 7,Q4: 7,Top10: 10
27,ЮФУ,2005,Cpu: 9,Cores: 9,Nodes: 6,Memory: 6,Nets: 3,Linpack: 7,Peak: 8,GRPperCapita: 10,Num of Systems: 3,Q1: 3,Q2: 4,Q3: 2,Q4: 2,Top10: 3
28,ИБХ РАН,2006,Cpu: 6,Cores: 6,Nodes: 6,Memory: 5,Nets: 6,Linpack: 8,Peak: 9,GRPperCapita: 3,Num of Systems: 10,Q1: 3,Q2: 3,Q3: 5,Q4: 5,Top10: 3
29,КРСУ,2006,Cpu: 2,Cores: 2,Nodes: 3,Memory: 8,Nets: 8,Linpack: 2,Peak: 2,GRPperCapita: 10,Num of Systems: 9,Q1: 8,Q2: 9,Q3: 9,Q4: 9,Top10: 9
30,Курчатовский институт,2006,Cpu: 8,Cores: 8,Nodes: 8,Memory: 6,Nets: 5,Linpack: 10,Peak: 8,GRPperCapita: 2,Num of Systems: 8,Q1: 2,Q2: 2,Q3: 3,Q4: 3,Top10: 2
31,МГУ,2006,Cpu: 1,Cores: 1,Nodes: 1,Memory: 1,Nets: 1,Linpack: 1,Peak: 1,GRPperCapita: 1,Num of Systems: 1,Q1: 1,Q2: 1,Q3: 1,Q4: 1,Top10: 1
32,СВФУ,2006,Cpu: 9,Cores: 9,Nodes: 9,Memory: 2,Nets: 3,Linpack: 3,Peak: 5,GRPperCapita: 5,Num of Systems: 6,Q1: 9,Q2: 6,Q3: 10,Q4: 10,Top10: 8
33,СПбГПУ,2006,Cpu: 10,Cores: 10,Nodes: 10,Memory: 3,Nets: 10,Linpack: 9,Peak: 10,GRPperCapita: 6,Num of Systems: 5,Q1: 5,Q2: 5,Q3: 2,Q4: 2,Top10: 5
34,ФГУП ЦНИИмаш,2006,Cpu: 5,Cores: 5,Nodes: 2,Memory: 10,Nets: 9,Linpack: 6,Peak: 6,GRPperCapita: 8,Num of Systems: 3,Q1: 6,Q2: 8,Q3: 8,Q4: 8,Top10: 6
35,ЮУрГУ,2006,Cpu: 3,Cores: 3,Nodes: 5,Memory: 9,Nets: 2,Linpack: 5,Peak: 3,GRPperCapita: 9,Num of Systems: 2,Q1: 10,Q2: 10,Q3: 6,Q4: 6,Top10: 10
36,ИГЭУ,2007,Cpu: 7,Cores: 6,Nodes: 7,Memory: 7,Nets: 10,Linpack: 10,Peak: 8,GRPperCapita: 10,Num of Systems: 10,Q1: 10,Q2: 8,Q3: 8,Q4: 8,Top10: 9
37,ИСП РАН,2007,Cpu: 10,Cores: 8,Nodes: 10,Memory: 8,Nets: 8,Linpack: 6,Peak: 6,GRPperCapita: 3,Num of Systems: 10,Q1: 10,Q2: 10,Q3: 9,Q4: 9,Top10: 10
38,КРСУ,2007,Cpu: 6,Cores: 9,Nodes: 6,Memory: 9,Nets: 7,Linpack: 8,Peak: 9,GRPperCapita: 10,Num of Systems: 9,Q1: 8,Q2: 10,Q3: 10,Q4: 10,Top10: 7
39,ЛИТ ОИЯИ,2007,Cpu: 5,Cores: 5,Nodes: 5,Memory: 4,Nets: 10,Linpack: 4,Peak: 3,GRPperCapita: 7,Num of Systems: 8,Q1: 1,Q2: 1,Q3: 1,Q4: 1,Top10: 1
40,МГУ,2007,Cpu: 1,Cores: 2,Nodes: 1,Memory: 1,Nets: 1,Linpack: 2,Peak: 4,GRPperCapita: 2,Num of Systems: 1,Q1: 1,Q2: 1,Q3: 1,Q4: 1,Top10: 1
41,МФТИ,2007,Cpu: 2,Cores: 1,Nodes: 2,Memory: 2,Nets: 6,Linpack: 1,Peak: 1,GRPperCapita: 1,Num of Systems: 7,Q1: 3,Q2: 5,Q3: 4,Q4: 5,Top10: 3
42,НИИ БМХ РАМН,2007,Cpu: 6,Cores: 6,Nodes: 6,Memory: 6,Nets: 6,Linpack: 7,Peak: 7,GRPperCapita: 1,Num of Systems: 6,Q1: 6,Q2: 6,Q3: 6,Q4: 7,Top10: 6
43,ННГУ,2007,Cpu: 4,Cores: 4,Nodes: 4,Memory: 10,Nets: 9,Linpack: 3,Peak: 2,GRPperCapita: 9,Num of Systems: 6,Q1: 4,Q2: 3,Q3: 3,Q4: 3,Top10: 4
44,СВФУ,2007,Cpu: 10,Cores: 10,Nodes: 10,Memory: 6,Nets: 5,Linpack: 9,Peak: 10,GRPperCapita: 4,Num of Systems: 5,Q1: 9,Q2: 9,Q3: 10,Q4: 10,Top10: 8
45,СПбГПУ,2007,Cpu: 3,Cores: 3,Nodes: 3,Memory: 3,Nets: 4,Linpack: 5,Peak: 5,GRPperCapita: 5,Num of Systems: 4,Q1: 2,Q2: 2,Q3: 2,Q4: 2,Top10: 2
46,ТГУ,2007,Cpu: 1,Cores: 1,Nodes: 1,Memory: 1,Nets: 2,Linpack: 1,Peak: 1,GRPperCapita: 6,Num of Systems: 3,Q1: 5,Q2: 4,Q3: 5,Q4: 4,Top10: 6
47,ТПУ,2007,Cpu: 9,Cores: 7,Nodes: 9,Memory: 5,Nets: 1,Linpack: 6,Peak: 6,GRPperCapita: 6,Num of Systems: 2,Q1: 6,Q2: 6,Q3: 6,Q4: 6,Top10: 5
48,ЮУрГУ,2007,Cpu: 8,Cores: 10,Nodes: 8,Memory: 10,Nets: 3,Linpack: 10,Peak: 10,GRPperCapita: 8,Num of Systems: 1,Q1: 7,Q2: 7,Q3: 7,Q4: 6,Top10: 10
49,ВлГУ,2008,Cpu: 7,Cores: 5,Nodes: 7,Memory: 6,Nets: 1,Linpack: 4,Peak: 5,GRPperCapita: 10,Num of Systems: 10,Q1: 8,Q2: 10,Q3: 8,Q4: 7,Top10: 7
50,ВятГУ,2008,Cpu: 4,Cores: 2,Nodes: 4,Memory: 4,Nets: 8,Linpack: 3,Peak: 3,GRPperCapita: 10,Num of Systems: 10,Q1: 10,Q2: 10,Q3: 9,Q4: 10,Top10: 10
51,ИВМ РАН,2008,Cpu: 10,Cores: 10,Nodes: 10,Memory: 9,Nets: 8,Linpack: 8,Peak: 9,GRPperCapita: 3,Num of Systems: 10,Q1: 7,Q2: 9,Q3: 10,Q4: 8,Top10: 7
52,ИВМиМГ СО РАН,2008,Cpu: 5,Cores: 9,Nodes: 5,Memory: 6,Nets: 7,Linpack: 10,Peak: 10,GRPperCapita: 9,Num of Systems: 9,Q1: 7,Q2: 7,Q3: 7,Q4: 8,Top10: 7
53,ИДСТУ СО РАН,2008,Cpu: 9,Cores: 9,Nodes: 9,Memory: 9,Nets: 10,Linpack: 9,Peak: 8,GRPperCapita: 8,Num of Systems: 9,Q1: 9,Q2: 9,Q3: 10,Q4: 9,Top10: 9
54,ИПРИМ РАН,2008,Cpu: 9,Cores: 8,Nodes: 9,Memory: 8,Nets: 7,Linpack: 7,Peak: 7,GRPperCapita: 2,Num of Systems: 9,Q1: 10,Q2: 10,Q3: 10,Q4: 10,Top10: 10
55,ИПХФ РАН,2008,Cpu: 2,Cores: 5,Nodes: 2,Memory: 6,Nets: 9,Linpack: 6,Peak: 5,GRPperCapita: 6,Num of Systems: 8,Q1: 3,Q2: 2,Q3: 2,Q4: 2,Top10: 2
56,ИТПМ СО РАН,2008,Cpu: 10,Cores: 9,Nodes: 10,Memory: 7,Nets: 7,Linpack: 9,Peak: 9,GRPperCapita: 9,Num of Systems: 8,Q1: 6,Q2: 6,Q3: 7,Q4: 6,Top10: 6
57,КазНЦ РАН,2008,Cpu: 4,Cores: 7,Nodes: 4,Memory: 5,Nets: 9,Linpack: 6,Peak: 7,GRPperCapita: 5,Num of Systems: 7,Q1: 10,Q2: 8,Q3: 8,Q4: 10,Top10: 10
58,Курчатовский институт,2008,Cpu: 1,Cores: 1,Nodes: 1,Memory: 1,Nets: 1,Linpack: 1,Peak: 1,GRPperCapita: 2,Num of Systems: 7,Q1: 2,Q2: 2,Q3: 4,Q4: 2,Top10: 2
59,ЛИТ ОИЯИ,2008,Cpu: 4,Cores: 4,Nodes: 4,Memory: 2,Nets: 10,Linpack: 5,Peak: 4,GRPperCapita: 6,Num of Systems: 7,Q1: 1,Q2: 1,Q3: 1,Q4: 1,Top10: 1
60,МГУ,2008,Cpu: 1,Cores: 1,Nodes: 1,Memory: 1,Nets: 2,Linpack: 1,Peak: 1,GRPperCapita: 2,Num of Systems: 1,Q1: 1,Q2: 1,Q3: 1,Q4: 1,Top10: 1
61,МИЭТ,2008,Cpu: 8,Cores: 7,Nodes: 8,Memory: 9,Nets: 10,Linpack: 9,Peak: 8,GRPperCapita: 1,Num of Systems: 6,Q1: 8,Q2: 7,Q3: 7,Q4: 7,Top10: 9
62,МФТИ,2008,Cpu: 3,Cores: 3,Nodes: 3,Memory: 4,Nets: 3,Linpack: 3,Peak: 3,GRPperCapita: 3,Num of Systems: 1,Q1: 4,Q2: 4,Q3: 4,Q4: 5,Top10: 4
63,НГУ,2008,Cpu: 6,Cores: 4,Nodes: 6,Memory: 3,Nets: 1,Linpack: 4,Peak: 4,GRPperCapita: 9,Num of Systems: 6,Q1: 2,Q2: 2,Q3: 2,Q4: 4,Top10: 2
64,НИЦЭМ им. Н.Ф. Гамалеи,2008,Cpu: 10,Cores: 10,Nodes: 10,Memory: 10,Nets: 6,Linpack: 10,Peak: 10,GRPperCapita: 1,Num of Systems: 6,Q1: 7,Q2: 7,Q3: 9,Q4: 9,Top10: 8
65,ННГУ,2008,Cpu: 6,Cores: 7,Nodes: 6,Memory: 10,Nets: 9,Linpack: 7,Peak: 6,GRPperCapita: 8,Num of Systems: 5,Q1: 3,Q2: 3,Q3: 2,Q4: 2,Top10: 3
66,ОИВТ РАН,2008,Cpu: 9,Cores: 8,Nodes: 9,Memory: 8,Nets: 6,Linpack: 7,Peak: 7,GRPperCapita: 1,Num of Systems: 5,Q1: 4,Q2: 4,Q3: 4,Q4: 4,Top10: 4
67,ПНИПУ,2008,Cpu: 6,Cores: 4,Nodes: 6,Memory: 5,Nets: 6,Linpack: 5,Peak: 6,GRPperCapita: 7,Num of Systems: 4,Q1: 9,Q2: 9,Q3: 9,Q4: 9,Top10: 9
68,СПбГПУ,2008,Cpu: 5,Cores: 6,Nodes: 5,Memory: 4,Nets: 5,Linpack: 8,Peak: 9,GRPperCapita: 4,Num of Systems: 4,Q1: 2,Q2: 3,Q3: 3,Q4: 3,Top10: 3
69,СПбГУ,2008,Cpu: 7,Cores: 6,Nodes: 7,Memory: 7,Nets: 5,Linpack: 6,Peak: 6,GRPperCapita: 4,Num of Systems: 4,Q1: 1,Q2: 1,Q3: 1,Q4: 1,Top10: 1
70,СФУ,2008,Cpu: 2,Cores: 2,Nodes: 2,Memory: 10,Nets: 4,Linpack: 2,Peak: 2,GRPperCapita: 4,Num of Systems: 3,Q1: 5,Q2: 6,Q3: 6,Q4: 6,Top10: 5
71,ТГУ,2008,Cpu: 1,Cores: 3,Nodes: 1,Memory: 2,Nets: 2,Linpack: 2,Peak: 2,GRPperCapita: 6,Num of Systems: 3,Q1: 5,Q2: 5,Q3: 5,Q4: 4,Top10: 5
72,ТПУ,2008,Cpu: 8,Cores: 10,Nodes: 8,Memory: 7,Nets: 2,Linpack: 10,Peak: 10,GRPperCapita: 5,Num of Systems: 2,Q1: 6,Q2: 5,Q3: 5,Q4: 5,Top10: 6
73,УГАТУ,2008,Cpu: 2,Cores: 1,Nodes: 2,Memory: 1,Nets: 4,Linpack: 1,Peak: 1,GRPperCapita: 7,Num of Systems: 2,Q1: 6,Q2: 6,Q3: 6,Q4: 6,Top10: 6
74,ЮУрГУ,2008,Cpu: 3,Cores: 2,Nodes: 3,Memory: 2,Nets: 4,Linpack: 2,Peak: 2,GRPperCapita: 7,Num of Systems: 2,Q1: 9,Q2: 8,Q3: 6,Q4: 7,Top10: 8
75,ЮФУ,2008,Cpu: 7,Cores: 6,Nodes: 7,Memory: 3,Nets: 3,Linpack: 4,Peak: 4,GRPperCapita: 10,Num of Systems: 1,Q1: 4,Q2: 4,Q3: 3,Q4: 3,Top10: 4
76,БФУ имени И. Канта,2009,Cpu: 6,Cores: 5,Nodes: 6,Memory: 5,Nets: 9,Linpack: 5,Peak: 5,GRPperCapita: 7,Num of Systems: 10,Q1: 10,Q2: 9,Q3: 10,Q4: 10,Top10: 10
77,ВлГУ,2009,Cpu: 5,Cores: 3,Nodes: 5,Memory: 5,Nets: 4,Linpack: 5,Peak: 5,GRPperCapita: 10,Num of Systems: 10,Q1: 9,Q2: 10,Q3: 8,Q4: 9,Top10: 9
78,ВятГУ,2009,Cpu: 3,Cores: 2,Nodes: 2,Memory: 4,Nets: 4,Linpack: 2,Peak: 2,GRPperCapita: 10,Num of Systems: 10,Q1: 10,Q2: 10,Q3: 9,Q4: 10,Top10: 10
79,ИВМ РАН,2009,Cpu: 10,Cores: 10,Nodes: 10,Memory: 8,Nets: 3,Linpack: 8,Peak: 9,GRPperCapita: 3,Num of Systems: 9,Q1: 6,Q2: 8,Q3: 9,Q4: 8,Top10: 6
80,ИВМиМГ СО РАН,2009,Cpu: 8,Cores: 7,Nodes: 8,Memory: 4,Nets: 3,Linpack: 5,Peak: 5,GRPperCapita: 8,Num of Systems: 9,Q1: 6,Q2: 6,Q3: 6,Q4: 6,Top10: 6
81,ИММ УРО РАН,2009,Cpu: 9,Cores: 8,Nodes: 9,Memory: 7,Nets: 3,Linpack: 7,Peak: 8,GRPperCapita: 7,Num of Systems: 9,Q1: 6,Q2: 8,Q3: 9,Q4: 6,Top10: 6
