,place,cpu,cores,nodes,memory,nets,linpack,peak,developer
1,not Moscow,1 cpu,1 cores,1 nodes,1 memory,1 nets,1 linpack,1 peak,domestic dev
2,Moscow,1 cpu,1 cores,1 nodes,1 memory,5 nets,1 linpack,1 peak,domestic dev
3,Moscow,1 cpu,1 cores,1 nodes,1 memory,4 nets,1 linpack,1 peak,domestic dev
4,Moscow,2 cpu,2 cores,2 nodes,2 memory,2 nets,2 linpack,2 peak,foreign dev
5,not Moscow,2 cpu,2 cores,2 nodes,3 memory,3 nets,2 linpack,2 peak,joint dev
6,not Moscow,2 cpu,2 cores,2 nodes,2 memory,10 nets,2 linpack,2 peak,domestic dev
7,Moscow,3 cpu,3 cores,3 nodes,2 memory,9 nets,3 linpack,3 peak,domestic dev
8,not Moscow,4 cpu,4 cores,4 nodes,3 memory,1 nets,3 linpack,3 peak,domestic dev
9,not Moscow,3 cpu,3 cores,3 nodes,5 memory,1 nets,3 linpack,3 peak,domestic dev
10,Moscow,6 cpu,5 cores,5 nodes,4 memory,9 nets,3 linpack,3 peak,domestic dev
11,not Moscow,5 cpu,5 cores,5 nodes,7 memory,8 nets,4 linpack,4 peak,domestic dev
12,Moscow,7 cpu,7 cores,7 nodes,5 memory,2 nets,4 linpack,5 peak,domestic dev
13,not Moscow,5 cpu,5 cores,4 nodes,5 memory,4 nets,4 linpack,4 peak,domestic dev
14,Moscow,5 cpu,4 cores,6 nodes,7 memory,3 nets,4 linpack,4 peak,domestic dev
15,Moscow,9 cpu,7 cores,9 nodes,8 memory,5 nets,5 linpack,6 peak,joint dev
16,Moscow,5 cpu,5 cores,6 nodes,4 memory,7 nets,5 linpack,5 peak,domestic dev
17,Moscow,8 cpu,8 cores,8 nodes,4 memory,4 nets,5 linpack,6 peak,joint dev
18,not Moscow,4 cpu,6 cores,5 nodes,6 memory,10 nets,5 linpack,5 peak,domestic dev
19,Moscow,7 cpu,7 cores,7 nodes,8 memory,6 nets,6 linpack,5 peak,domestic dev
20,not Moscow,9 cpu,9 cores,9 nodes,9 memory,3 nets,6 linpack,6 peak,domestic dev
21,not Moscow,8 cpu,8 cores,9 nodes,3 memory,7 nets,6 linpack,7 peak,domestic dev
22,not Moscow,9 cpu,9 cores,7 nodes,5 memory,7 nets,6 linpack,7 peak,domestic dev
23,Moscow,10 cpu,10 cores,10 nodes,7 memory,2 nets,7 linpack,9 peak,domestic dev
24,not Moscow,7 cpu,8 cores,8 nodes,9 memory,5 nets,7 linpack,8 peak,joint dev
25,not Moscow,7 cpu,9 cores,8 nodes,8 memory,5 nets,7 linpack,8 peak,domestic dev
26,Moscow,6 cpu,4 cores,6 nodes,6 memory,7 nets,7 linpack,4 peak,domestic dev
27,Moscow,3 cpu,3 cores,3 nodes,3 memory,10 nets,8 linpack,6 peak,domestic dev
28,not Moscow,9 cpu,9 cores,7 nodes,9 memory,6 nets,8 linpack,8 peak,domestic dev
29,Moscow,8 cpu,7 cores,9 nodes,8 memory,9 nets,8 linpack,8 peak,domestic dev
30,not Moscow,6 cpu,4 cores,6 nodes,4 memory,4 nets,8 linpack,9 peak,domestic dev
31,Moscow,8 cpu,8 cores,10 nodes,10 memory,3 nets,9 linpack,9 peak,joint dev
32,not Moscow,4 cpu,6 cores,5 nodes,6 memory,8 nets,9 linpack,9 peak,domestic dev
33,not Moscow,10 cpu,10 cores,10 nodes,7 memory,8 nets,9 linpack,10 peak,domestic dev
34,not Moscow,10 cpu,10 cores,8 nodes,9 memory,6 nets,9 linpack,10 peak,domestic dev
35,Moscow,10 cpu,10 cores,10 nodes,10 memory,9 nets,10 linpack,10 peak,domestic dev
36,Moscow,4 cpu,6 cores,4 nodes,6 memory,8 nets,10 linpack,10 peak,domestic dev
37,not Moscow,3 cpu,3 cores,3 nodes,10 memory,6 nets,10 linpack,7 peak,foreign dev
38,not Moscow,6 cpu,6 cores,4 nodes,10 memory,10 nets,10 linpack,7 peak,domestic dev
39,Moscow,1 cpu,1 cores,1 nodes,1 memory,4 nets,1 linpack,1 peak,domestic dev
40,not Moscow,1 cpu,1 cores,1 nodes,1 memory,1 nets,1 linpack,1 peak,domestic dev
41,Moscow,1 cpu,1 cores,1 nodes,1 memory,1 nets,1 linpack,2 peak,foreign dev
42,Moscow,1 cpu,1 cores,1 nodes,1 memory,5 nets,1 linpack,1 peak,domestic dev
43,not Moscow,2 cpu,2 cores,2 nodes,4 memory,5 nets,2 linpack,1 peak,joint dev
44,not Moscow,2 cpu,2 cores,2 nodes,2 memory,10 nets,2 linpack,2 peak,domestic dev
45,not Moscow,3 cpu,3 cores,3 nodes,5 memory,9 nets,2 linpack,3 peak,domestic dev
46,Moscow,2 cpu,2 cores,2 nodes,4 memory,10 nets,2 linpack,2 peak,domestic dev
47,not Moscow,3 cpu,3 cores,3 nodes,5 memory,9 nets,3 linpack,3 peak,domestic dev
48,Moscow,4 cpu,4 cores,3 nodes,3 memory,8 nets,3 linpack,3 peak,domestic dev
49,not Moscow,3 cpu,3 cores,10 nodes,3 memory,8 nets,3 linpack,2 peak,foreign dev
50,not Moscow,4 cpu,4 cores,4 nodes,6 memory,2 nets,3 linpack,5 peak,domestic dev
51,Moscow,4 cpu,4 cores,4 nodes,3 memory,2 nets,4 linpack,5 peak,domestic dev
52,not Moscow,4 cpu,4 cores,4 nodes,6 memory,1 nets,4 linpack,5 peak,domestic dev
53,not Moscow,2 cpu,2 cores,2 nodes,4 memory,5 nets,4 linpack,5 peak,domestic dev
54,not Moscow,7 cpu,5 cores,6 nodes,8 memory,10 nets,4 linpack,6 peak,domestic dev
55,not Moscow,6 cpu,6 cores,9 nodes,2 memory,7 nets,5 linpack,4 peak,foreign dev
56,not Moscow,6 cpu,7 cores,10 nodes,3 memory,6 nets,5 linpack,4 peak,foreign dev
57,not Moscow,6 cpu,6 cores,10 nodes,2 memory,7 nets,5 linpack,4 peak,foreign dev
58,not Moscow,7 cpu,5 cores,10 nodes,2 memory,7 nets,5 linpack,4 peak,foreign dev
59,Moscow,6 cpu,6 cores,5 nodes,7 memory,10 nets,6 linpack,6 peak,domestic dev
60,Moscow,3 cpu,3 cores,3 nodes,5 memory,9 nets,6 linpack,3 peak,domestic dev
61,not Moscow,7 cpu,7 cores,7 nodes,7 memory,3 nets,6 linpack,7 peak,domestic dev
62,Moscow,9 cpu,9 cores,8 nodes,8 memory,3 nets,6 linpack,9 peak,joint dev
63,Moscow,8 cpu,8 cores,7 nodes,8 memory,2 nets,7 linpack,8 peak,domestic dev
64,not Moscow,5 cpu,7 cores,5 nodes,7 memory,4 nets,7 linpack,6 peak,domestic dev
65,Moscow,5 cpu,6 cores,5 nodes,6 memory,8 nets,7 linpack,7 peak,domestic dev
66,Moscow,5 cpu,7 cores,5 nodes,9 memory,3 nets,7 linpack,7 peak,domestic dev
67,Moscow,8 cpu,10 cores,8 nodes,6 memory,4 nets,7 linpack,9 peak,joint dev
68,not Moscow,7 cpu,5 cores,6 nodes,9 memory,10 nets,8 linpack,7 peak,domestic dev
69,Moscow,8 cpu,8 cores,7 nodes,10 memory,6 nets,8 linpack,8 peak,domestic dev
70,not Moscow,8 cpu,9 cores,8 nodes,5 memory,8 nets,8 linpack,9 peak,domestic dev
71,not Moscow,10 cpu,10 cores,8 nodes,10 memory,5 nets,8 linpack,9 peak,domestic dev
72,Moscow,8 cpu,9 cores,9 nodes,7 memory,8 nets,8 linpack,7 peak,foreign dev
73,Moscow,7 cpu,5 cores,6 nodes,10 memory,6 nets,9 linpack,6 peak,domestic dev
74,not Moscow,9 cpu,9 cores,9 nodes,4 memory,9 nets,9 linpack,8 peak,foreign dev
75,Moscow,9 cpu,9 cores,9 nodes,9 memory,7 nets,9 linpack,8 peak,foreign dev
76,Moscow,9 cpu,8 cores,10 nodes,9 memory,7 nets,9 linpack,8 peak,foreign dev
77,not Moscow,9 cpu,8 cores,8 nodes,8 memory,3 nets,9 linpack,9 peak,domestic dev
78,not Moscow,10 cpu,10 cores,6 nodes,8 memory,9 nets,10 linpack,10 peak,domestic dev
79,not Moscow,10 cpu,8 cores,7 nodes,10 memory,2 nets,10 linpack,10 peak,joint dev
80,Moscow,10 cpu,10 cores,9 nodes,9 memory,1 nets,10 linpack,10 peak,domestic dev
81,not Moscow,5 cpu,7 cores,4 nodes,7 memory,4 nets,10 linpack,10 peak,domestic dev
82,not Moscow,10 cpu,10 cores,7 nodes,10 memory,6 nets,10 linpack,10 peak,domestic dev
83,Moscow,1 cpu,1 cores,1 nodes,1 memory,5 nets,1 linpack,1 peak,domestic dev
84,not Moscow,1 cpu,1 cores,1 nodes,1 memory,2 nets,1 linpack,1 peak,domestic dev
85,Moscow,1 cpu,1 cores,1 nodes,2 memory,5 nets,1 linpack,1 peak,foreign dev
86,not Moscow,3 cpu,4 cores,3 nodes,2 memory,1 nets,1 linpack,1 peak,joint dev
87,Moscow,2 cpu,2 cores,2 nodes,2 memory,3 nets,2 linpack,2 peak,foreign dev
88,not Moscow,3 cpu,4 cores,3 nodes,6 memory,4 nets,2 linpack,2 peak,joint dev
89,not Moscow,3 cpu,3 cores,2 nodes,5 memory,10 nets,2 linpack,2 peak,domestic dev
90,Moscow,2 cpu,2 cores,8 nodes,1 memory,6 nets,2 linpack,2 peak,foreign dev
91,not Moscow,5 cpu,5 cores,10 nodes,1 memory,6 nets,3 linpack,4 peak,foreign dev
92,Moscow,1 cpu,1 cores,1 nodes,4 memory,5 nets,3 linpack,3 peak,domestic dev
93,not Moscow,5 cpu,5 cores,4 nodes,6 memory,10 nets,3 linpack,5 peak,domestic dev
94,not Moscow,2 cpu,2 cores,8 nodes,2 memory,6 nets,3 linpack,3 peak,foreign dev
95,not Moscow,3 cpu,3 cores,10 nodes,3 memory,7 nets,4 linpack,3 peak,foreign dev
96,not Moscow,7 cpu,6 cores,9 nodes,4 memory,8 nets,4 linpack,4 peak,foreign dev
97,not Moscow,4 cpu,4 cores,3 nodes,4 memory,2 nets,4 linpack,5 peak,domestic dev
98,Moscow,2 cpu,2 cores,8 nodes,3 memory,5 nets,4 linpack,3 peak,foreign dev
99,Moscow,4 cpu,4 cores,3 nodes,6 memory,10 nets,4 linpack,5 peak,domestic dev
100,Moscow,6 cpu,6 cores,5 nodes,6 memory,9 nets,5 linpack,6 peak,domestic dev
101,not Moscow,5 cpu,5 cores,4 nodes,6 memory,8 nets,5 linpack,6 peak,domestic dev
102,not Moscow,5 cpu,5 cores,9 nodes,5 memory,7 nets,5 linpack,4 peak,foreign dev
103,not Moscow,4 cpu,4 cores,8 nodes,3 memory,8 nets,5 linpack,4 peak,foreign dev
104,not Moscow,5 cpu,5 cores,10 nodes,3 memory,7 nets,5 linpack,4 peak,foreign dev
105,not Moscow,6 cpu,6 cores,10 nodes,5 memory,5 nets,6 linpack,5 peak,foreign dev
106,not Moscow,7 cpu,7 cores,5 nodes,8 memory,2 nets,6 linpack,7 peak,domestic dev
107,Moscow,6 cpu,6 cores,5 nodes,5 memory,1 nets,6 linpack,7 peak,domestic dev
108,not Moscow,6 cpu,7 cores,9 nodes,4 memory,8 nets,6 linpack,5 peak,foreign dev
109,Moscow,9 cpu,9 cores,7 nodes,9 memory,1 nets,6 linpack,8 peak,domestic dev
110,not Moscow,4 cpu,3 cores,2 nodes,7 memory,4 nets,7 linpack,7 peak,domestic dev
111,Moscow,8 cpu,7 cores,6 nodes,8 memory,4 nets,7 linpack,8 peak,joint dev
112,not Moscow,4 cpu,3 cores,2 nodes,7 memory,4 nets,7 linpack,7 peak,domestic dev
113,Moscow,6 cpu,6 cores,4 nodes,7 memory,7 nets,7 linpack,6 peak,domestic dev
114,not Moscow,9 cpu,8 cores,9 nodes,5 memory,9 nets,7 linpack,6 peak,foreign dev
115,not Moscow,9 cpu,7 cores,10 nodes,4 memory,9 nets,8 linpack,6 peak,foreign dev
116,not Moscow,9 cpu,7 cores,6 nodes,10 memory,9 nets,8 linpack,8 peak,domestic dev
117,not Moscow,10 cpu,10 cores,5 nodes,7 memory,2 nets,8 linpack,9 peak,domestic dev
118,Moscow,8 cpu,8 cores,9 nodes,7 memory,8 nets,8 linpack,7 peak,foreign dev
119,Moscow,7 cpu,9 cores,6 nodes,8 memory,10 nets,8 linpack,8 peak,domestic dev
120,not Moscow,9 cpu,9 cores,7 nodes,9 memory,4 nets,9 linpack,10 peak,domestic dev
121,not Moscow,7 cpu,9 cores,4 nodes,8 memory,7 nets,9 linpack,9 peak,domestic dev
122,not Moscow,10 cpu,10 cores,4 nodes,9 memory,9 nets,9 linpack,9 peak,domestic dev
123,not Moscow,7 cpu,9 cores,6 nodes,9 memory,3 nets,9 linpack,8 peak,domestic dev
124,Moscow,8 cpu,8 cores,7 nodes,10 memory,3 nets,9 linpack,9 peak,domestic dev
125,Moscow,8 cpu,8 cores,5 nodes,9 memory,6 nets,10 linpack,9 peak,domestic dev
126,Moscow,10 cpu,10 cores,7 nodes,10 memory,1 nets,10 linpack,10 peak,domestic dev
127,not Moscow,10 cpu,10 cores,7 nodes,10 memory,6 nets,10 linpack,10 peak,domestic dev
128,not Moscow,8 cpu,8 cores,6 nodes,10 memory,10 nets,10 linpack,10 peak,domestic dev
129,Moscow,10 cpu,10 cores,8 nodes,8 memory,3 nets,10 linpack,10 peak,joint dev
130,Moscow,1 cpu,1 cores,1 nodes,1 memory,4 nets,1 linpack,1 peak,domestic dev
131,not Moscow,1 cpu,1 cores,1 nodes,1 memory,2 nets,1 linpack,1 peak,domestic dev
132,Moscow,1 cpu,1 cores,1 nodes,3 memory,4 nets,1 linpack,1 peak,foreign dev
133,not Moscow,4 cpu,3 cores,2 nodes,3 memory,2 nets,1 linpack,2 peak,joint dev
134,Moscow,3 cpu,4 cores,8 nodes,1 memory,4 nets,2 linpack,2 peak,joint dev
135,Moscow,2 cpu,2 cores,2 nodes,2 memory,5 nets,2 linpack,1 peak,domestic dev
136,Moscow,2 cpu,2 cores,2 nodes,2 memory,1 nets,2 linpack,3 peak,foreign dev
137,not Moscow,3 cpu,3 cores,3 nodes,9 memory,3 nets,2 linpack,2 peak,joint dev
138,not Moscow,3 cpu,3 cores,2 nodes,5 memory,10 nets,3 linpack,2 peak,domestic dev
139,Moscow,4 cpu,4 cores,3 nodes,5 memory,8 nets,3 linpack,3 peak,joint dev
140,Moscow,4 cpu,4 cores,3 nodes,6 memory,10 nets,3 linpack,3 peak,joint dev
141,Moscow,2 cpu,2 cores,7 nodes,2 memory,5 nets,3 linpack,3 peak,foreign dev
142,not Moscow,6 cpu,6 cores,10 nodes,1 memory,5 nets,3 linpack,5 peak,foreign dev
143,not Moscow,7 cpu,6 cores,8 nodes,3 memory,8 nets,4 linpack,4 peak,joint dev
144,Moscow,1 cpu,1 cores,1 nodes,4 memory,3 nets,4 linpack,4 peak,domestic dev
145,not Moscow,5 cpu,5 cores,4 nodes,6 memory,9 nets,4 linpack,5 peak,foreign dev
146,Moscow,5 cpu,5 cores,4 nodes,7 memory,7 nets,4 linpack,5 peak,joint dev
147,Moscow,5 cpu,5 cores,4 nodes,8 memory,6 nets,4 linpack,6 peak,joint dev
148,not Moscow,6 cpu,5 cores,5 nodes,9 memory,10 nets,5 linpack,7 peak,domestic dev
149,not Moscow,2 cpu,2 cores,7 nodes,2 memory,6 nets,5 linpack,4 peak,foreign dev
150,not Moscow,3 cpu,3 cores,9 nodes,4 memory,8 nets,5 linpack,3 peak,foreign dev
151,not Moscow,7 cpu,7 cores,5 nodes,9 memory,1 nets,5 linpack,8 peak,domestic dev
152,not Moscow,8 cpu,8 cores,10 nodes,4 memory,7 nets,5 linpack,4 peak,foreign dev
153,not Moscow,5 cpu,5 cores,4 nodes,5 memory,3 nets,6 linpack,7 peak,domestic dev
154,Moscow,3 cpu,3 cores,8 nodes,3 memory,6 nets,6 linpack,4 peak,foreign dev
155,Moscow,4 cpu,4 cores,3 nodes,8 memory,10 nets,6 linpack,7 peak,domestic dev
156,not Moscow,7 cpu,7 cores,5 nodes,6 memory,9 nets,6 linpack,6 peak,foreign dev
157,not Moscow,6 cpu,6 cores,4 nodes,9 memory,6 nets,6 linpack,7 peak,domestic dev
158,not Moscow,4 cpu,4 cores,9 nodes,4 memory,4 nets,7 linpack,6 peak,foreign dev
159,not Moscow,7 cpu,7 cores,5 nodes,6 memory,10 nets,7 linpack,6 peak,joint dev
160,not Moscow,6 cpu,7 cores,8 nodes,5 memory,9 nets,7 linpack,5 peak,foreign dev
161,not Moscow,6 cpu,6 cores,10 nodes,3 memory,9 nets,7 linpack,5 peak,foreign dev
162,not Moscow,5 cpu,6 cores,10 nodes,5 memory,8 nets,7 linpack,6 peak,foreign dev
163,not Moscow,8 cpu,8 cores,6 nodes,10 memory,1 nets,8 linpack,9 peak,domestic dev
164,not Moscow,8 cpu,7 cores,9 nodes,7 memory,7 nets,8 linpack,8 peak,joint dev
165,Moscow,8 cpu,8 cores,6 nodes,8 memory,2 nets,8 linpack,9 peak,domestic dev
166,Moscow,8 cpu,8 cores,10 nodes,7 memory,4 nets,8 linpack,8 peak,joint dev
167,not Moscow,7 cpu,8 cores,9 nodes,4 memory,8 nets,8 linpack,7 peak,foreign dev
168,Moscow,9 cpu,9 cores,6 nodes,8 memory,2 nets,9 linpack,9 peak,domestic dev
169,not Moscow,9 cpu,9 cores,6 nodes,10 memory,3 nets,9 linpack,9 peak,domestic dev
170,not Moscow,10 cpu,10 cores,7 nodes,7 memory,7 nets,9 linpack,10 peak,domestic dev
171,Moscow,10 cpu,10 cores,7 nodes,10 memory,5 nets,9 linpack,10 peak,joint dev
172,Moscow,10 cpu,10 cores,6 nodes,9 memory,3 nets,9 linpack,9 peak,joint dev
173,Moscow,10 cpu,10 cores,7 nodes,10 memory,1 nets,10 linpack,10 peak,domestic dev
174,not Moscow,9 cpu,9 cores,5 nodes,8 memory,6 nets,10 linpack,8 peak,domestic dev
175,Moscow,9 cpu,9 cores,9 nodes,7 memory,7 nets,10 linpack,10 peak,joint dev
176,Moscow,10 cpu,10 cores,8 nodes,6 memory,9 nets,10 linpack,10 peak,joint dev
177,not Moscow,9 cpu,9 cores,3 nodes,10 memory,5 nets,10 linpack,8 peak,domestic dev
178,Moscow,1 cpu,1 cores,1 nodes,1 memory,3 nets,1 linpack,1 peak,domestic dev
179,not Moscow,1 cpu,1 cores,1 nodes,1 memory,2 nets,1 linpack,1 peak,domestic dev
180,Moscow,1 cpu,1 cores,1 nodes,3 memory,4 nets,1 linpack,1 peak,foreign dev
181,not Moscow,4 cpu,3 cores,2 nodes,3 memory,2 nets,1 linpack,2 peak,joint dev
182,Moscow,3 cpu,3 cores,10 nodes,1 memory,5 nets,2 linpack,2 peak,joint dev
183,Moscow,2 cpu,2 cores,2 nodes,2 memory,6 nets,2 linpack,1 peak,domestic dev
184,Moscow,2 cpu,2 cores,2 nodes,2 memory,1 nets,2 linpack,3 peak,foreign dev
185,not Moscow,3 cpu,3 cores,3 nodes,9 memory,3 nets,2 linpack,2 peak,joint dev
186,not Moscow,3 cpu,3 cores,2 nodes,5 memory,10 nets,3 linpack,2 peak,domestic dev
187,Moscow,4 cpu,4 cores,3 nodes,5 memory,8 nets,3 linpack,3 peak,joint dev
188,not Moscow,4 cpu,4 cores,3 nodes,5 memory,3 nets,3 linpack,5 peak,foreign dev
189,Moscow,2 cpu,2 cores,8 nodes,2 memory,6 nets,3 linpack,3 peak,foreign dev
190,Moscow,4 cpu,4 cores,3 nodes,7 memory,7 nets,3 linpack,3 peak,joint dev
191,not Moscow,7 cpu,6 cores,8 nodes,3 memory,8 nets,4 linpack,5 peak,joint dev
192,not Moscow,6 cpu,6 cores,9 nodes,1 memory,5 nets,4 linpack,5 peak,foreign dev
193,Moscow,1 cpu,1 cores,1 nodes,4 memory,3 nets,4 linpack,4 peak,domestic dev
194,not Moscow,5 cpu,5 cores,4 nodes,6 memory,9 nets,4 linpack,5 peak,foreign dev
195,not Moscow,6 cpu,6 cores,5 nodes,9 memory,4 nets,4 linpack,7 peak,domestic dev
196,Moscow,5 cpu,5 cores,4 nodes,7 memory,7 nets,5 linpack,6 peak,joint dev
197,Moscow,5 cpu,5 cores,4 nodes,9 memory,6 nets,5 linpack,6 peak,joint dev
198,not Moscow,6 cpu,7 cores,5 nodes,9 memory,10 nets,5 linpack,8 peak,domestic dev
199,not Moscow,2 cpu,2 cores,8 nodes,2 memory,6 nets,5 linpack,4 peak,foreign dev
200,not Moscow,10 cpu,10 cores,7 nodes,5 memory,3 nets,5 linpack,9 peak,domestic dev
201,not Moscow,3 cpu,4 cores,10 nodes,3 memory,9 nets,6 linpack,3 peak,foreign dev
202,not Moscow,8 cpu,9 cores,6 nodes,7 memory,7 nets,6 linpack,8 peak,domestic dev
203,not Moscow,8 cpu,8 cores,6 nodes,10 memory,1 nets,6 linpack,9 peak,domestic dev
204,not Moscow,8 cpu,9 cores,10 nodes,4 memory,4 nets,6 linpack,5 peak,foreign dev
205,not Moscow,5 cpu,5 cores,4 nodes,5 memory,2 nets,6 linpack,7 peak,domestic dev
206,Moscow,3 cpu,3 cores,8 nodes,3 memory,8 nets,7 linpack,4 peak,foreign dev
207,not Moscow,7 cpu,7 cores,5 nodes,6 memory,9 nets,7 linpack,7 peak,foreign dev
208,Moscow,5 cpu,5 cores,4 nodes,8 memory,10 nets,7 linpack,7 peak,domestic dev
209,not Moscow,7 cpu,6 cores,5 nodes,9 memory,5 nets,7 linpack,8 peak,domestic dev
210,not Moscow,6 cpu,7 cores,9 nodes,6 memory,9 nets,7 linpack,4 peak,foreign dev
211,not Moscow,7 cpu,6 cores,10 nodes,4 memory,8 nets,8 linpack,4 peak,foreign dev
212,not Moscow,7 cpu,7 cores,5 nodes,6 memory,9 nets,8 linpack,6 peak,joint dev
213,not Moscow,4 cpu,4 cores,10 nodes,4 memory,4 nets,8 linpack,6 peak,foreign dev
214,not Moscow,6 cpu,7 cores,8 nodes,6 memory,10 nets,8 linpack,6 peak,foreign dev
215,not Moscow,8 cpu,8 cores,3 nodes,10 memory,5 nets,8 linpack,9 peak,domestic dev
216,not Moscow,8 cpu,8 cores,6 nodes,7 memory,10 nets,9 linpack,8 peak,domestic dev
217,not Moscow,9 cpu,9 cores,6 nodes,10 memory,1 nets,9 linpack,9 peak,domestic dev
218,not Moscow,9 cpu,8 cores,9 nodes,8 memory,7 nets,9 linpack,9 peak,joint dev
219,Moscow,9 cpu,9 cores,6 nodes,8 memory,2 nets,9 linpack,10 peak,domestic dev
220,not Moscow,9 cpu,9 cores,9 nodes,4 memory,8 nets,9 linpack,7 peak,foreign dev
221,Moscow,9 cpu,8 cores,9 nodes,8 memory,6 nets,10 linpack,8 peak,joint dev
222,Moscow,10 cpu,10 cores,7 nodes,8 memory,1 nets,10 linpack,10 peak,domestic dev
223,not Moscow,10 cpu,10 cores,7 nodes,10 memory,4 nets,10 linpack,10 peak,domestic dev
224,not Moscow,10 cpu,10 cores,7 nodes,7 memory,7 nets,10 linpack,10 peak,domestic dev
