,place,cpu,cores,nodes,memory,nets,linpack,peak,developer
894,Moscow,1 cpu,1 cores,1 nodes,1 memory,7 nets,1 linpack,1 peak,domestic dev
895,not Moscow,2 cpu,2 cores,2 nodes,2 memory,1 nets,1 linpack,1 peak,domestic dev
896,Moscow,5 cpu,2 cores,5 nodes,3 memory,2 nets,2 linpack,2 peak,domestic dev
897,Moscow,3 cpu,4 cores,3 nodes,1 memory,1 nets,2 linpack,2 peak,joint dev
898,not Moscow,5 cpu,1 cores,6 nodes,5 memory,8 nets,2 linpack,2 peak,domestic dev
899,not Moscow,4 cpu,2 cores,4 nodes,5 memory,8 nets,3 linpack,3 peak,domestic dev
900,not Moscow,7 cpu,3 cores,4 nodes,9 memory,3 nets,3 linpack,3 peak,domestic dev
901,Moscow,1 cpu,3 cores,1 nodes,4 memory,5 nets,3 linpack,3 peak,foreign dev
902,not Moscow,9 cpu,4 cores,9 nodes,8 memory,5 nets,4 linpack,4 peak,joint dev
903,Moscow,4 cpu,4 cores,4 nodes,2 memory,2 nets,4 linpack,5 peak,domestic dev
904,not Moscow,9 cpu,10 cores,10 nodes,9 memory,4 nets,4 linpack,6 peak,domestic dev
905,Moscow,9 cpu,8 cores,9 nodes,9 memory,4 nets,5 linpack,4 peak,foreign dev
906,not Moscow,5 cpu,7 cores,5 nodes,3 memory,9 nets,5 linpack,7 peak,domestic dev
907,Moscow,8 cpu,6 cores,8 nodes,10 memory,10 nets,5 linpack,5 peak,foreign dev
908,not Moscow,1 cpu,3 cores,2 nodes,10 memory,10 nets,6 linpack,5 peak,foreign dev
909,Moscow,10 cpu,6 cores,9 nodes,10 memory,2 nets,6 linpack,7 peak,domestic dev
910,not Moscow,2 cpu,5 cores,2 nodes,4 memory,9 nets,6 linpack,7 peak,domestic dev
911,Moscow,3 cpu,5 cores,3 nodes,7 memory,9 nets,7 linpack,8 peak,domestic dev
912,Moscow,7 cpu,9 cores,7 nodes,3 memory,3 nets,7 linpack,9 peak,foreign dev
913,Moscow,9 cpu,7 cores,9 nodes,7 memory,5 nets,7 linpack,6 peak,domestic dev
914,not Moscow,6 cpu,8 cores,6 nodes,6 memory,7 nets,7 linpack,9 peak,foreign dev
915,not Moscow,10 cpu,9 cores,10 nodes,8 memory,6 nets,8 linpack,6 peak,joint dev
916,not Moscow,4 cpu,7 cores,5 nodes,4 memory,8 nets,8 linpack,8 peak,domestic dev
917,Moscow,6 cpu,9 cores,6 nodes,2 memory,9 nets,8 linpack,8 peak,foreign dev
918,not Moscow,10 cpu,10 cores,10 nodes,10 memory,3 nets,8 linpack,7 peak,domestic dev
919,not Moscow,8 cpu,9 cores,8 nodes,7 memory,10 nets,9 linpack,9 peak,domestic dev
920,not Moscow,10 cpu,8 cores,10 nodes,9 memory,6 nets,9 linpack,9 peak,foreign dev
921,Moscow,8 cpu,10 cores,8 nodes,7 memory,7 nets,9 linpack,10 peak,domestic dev
922,not Moscow,6 cpu,6 cores,7 nodes,5 memory,8 nets,9 linpack,8 peak,domestic dev
923,Moscow,7 cpu,5 cores,7 nodes,6 memory,10 nets,10 linpack,4 peak,foreign dev
924,Moscow,8 cpu,10 cores,8 nodes,8 memory,1 nets,10 linpack,10 peak,foreign dev
925,not Moscow,7 cpu,7 cores,7 nodes,6 memory,7 nets,10 linpack,10 peak,domestic dev
926,Moscow,3 cpu,8 cores,3 nodes,8 memory,6 nets,10 linpack,10 peak,foreign dev
927,Moscow,2 cpu,1 cores,1 nodes,1 memory,2 nets,1 linpack,1 peak,domestic dev
928,Moscow,1 cpu,1 cores,1 nodes,1 memory,7 nets,1 linpack,1 peak,domestic dev
929,not Moscow,2 cpu,2 cores,2 nodes,2 memory,5 nets,1 linpack,1 peak,domestic dev
930,Moscow,6 cpu,4 cores,6 nodes,3 memory,1 nets,2 linpack,2 peak,domestic dev
931,Moscow,5 cpu,2 cores,5 nodes,4 memory,3 nets,2 linpack,2 peak,domestic dev
932,Moscow,3 cpu,4 cores,3 nodes,1 memory,5 nets,2 linpack,3 peak,joint dev
933,not Moscow,5 cpu,1 cores,6 nodes,5 memory,8 nets,3 linpack,2 peak,domestic dev
934,not Moscow,3 cpu,2 cores,3 nodes,6 memory,7 nets,3 linpack,3 peak,domestic dev
935,not Moscow,6 cpu,3 cores,5 nodes,9 memory,4 nets,3 linpack,3 peak,domestic dev
936,Moscow,1 cpu,3 cores,1 nodes,5 memory,6 nets,4 linpack,4 peak,foreign dev
937,not Moscow,9 cpu,5 cores,9 nodes,8 memory,6 nets,4 linpack,4 peak,joint dev
938,Moscow,7 cpu,8 cores,7 nodes,4 memory,1 nets,4 linpack,6 peak,domestic dev
939,Moscow,4 cpu,5 cores,4 nodes,2 memory,4 nets,5 linpack,5 peak,domestic dev
940,not Moscow,10 cpu,10 cores,10 nodes,9 memory,3 nets,5 linpack,6 peak,domestic dev
941,not Moscow,2 cpu,4 cores,2 nodes,3 memory,9 nets,5 linpack,6 peak,domestic dev
942,Moscow,9 cpu,8 cores,9 nodes,9 memory,2 nets,5 linpack,5 peak,foreign dev
943,not Moscow,5 cpu,7 cores,5 nodes,5 memory,8 nets,6 linpack,7 peak,domestic dev
944,Moscow,8 cpu,6 cores,8 nodes,10 memory,10 nets,6 linpack,5 peak,foreign dev
945,not Moscow,1 cpu,3 cores,2 nodes,10 memory,10 nets,6 linpack,5 peak,foreign dev
946,not Moscow,4 cpu,6 cores,4 nodes,6 memory,8 nets,6 linpack,8 peak,foreign dev
947,Moscow,10 cpu,6 cores,9 nodes,10 memory,5 nets,7 linpack,7 peak,domestic dev
948,Moscow,3 cpu,5 cores,3 nodes,7 memory,9 nets,7 linpack,8 peak,domestic dev
949,not Moscow,5 cpu,6 cores,5 nodes,3 memory,9 nets,7 linpack,7 peak,foreign dev
950,Moscow,7 cpu,9 cores,7 nodes,4 memory,1 nets,7 linpack,9 peak,foreign dev
951,Moscow,9 cpu,7 cores,9 nodes,7 memory,5 nets,8 linpack,6 peak,domestic dev
952,not Moscow,9 cpu,9 cores,10 nodes,8 memory,6 nets,8 linpack,7 peak,joint dev
953,not Moscow,4 cpu,7 cores,4 nodes,5 memory,8 nets,8 linpack,9 peak,domestic dev
954,Moscow,7 cpu,9 cores,8 nodes,6 memory,2 nets,8 linpack,10 peak,foreign dev
955,Moscow,6 cpu,8 cores,6 nodes,2 memory,9 nets,9 linpack,8 peak,foreign dev
956,not Moscow,10 cpu,10 cores,10 nodes,10 memory,4 nets,9 linpack,8 peak,domestic dev
957,not Moscow,8 cpu,10 cores,8 nodes,8 memory,10 nets,9 linpack,10 peak,domestic dev
958,not Moscow,10 cpu,8 cores,10 nodes,9 memory,6 nets,9 linpack,9 peak,foreign dev
959,Moscow,8 cpu,10 cores,7 nodes,7 memory,7 nets,10 linpack,10 peak,domestic dev
960,not Moscow,6 cpu,7 cores,6 nodes,6 memory,7 nets,10 linpack,9 peak,domestic dev
961,Moscow,8 cpu,9 cores,8 nodes,8 memory,3 nets,10 linpack,10 peak,foreign dev
962,Moscow,7 cpu,5 cores,7 nodes,7 memory,10 nets,10 linpack,4 peak,foreign dev
963,Moscow,2 cpu,1 cores,1 nodes,1 memory,3 nets,1 linpack,1 peak,domestic dev
964,Moscow,1 cpu,1 cores,1 nodes,1 memory,7 nets,1 linpack,1 peak,domestic dev
965,not Moscow,2 cpu,2 cores,2 nodes,2 memory,5 nets,1 linpack,1 peak,domestic dev
966,Moscow,5 cpu,2 cores,5 nodes,4 memory,3 nets,2 linpack,2 peak,domestic dev
967,Moscow,6 cpu,4 cores,6 nodes,3 memory,1 nets,2 linpack,2 peak,domestic dev
968,Moscow,3 cpu,4 cores,3 nodes,1 memory,5 nets,2 linpack,3 peak,joint dev
969,not Moscow,5 cpu,1 cores,6 nodes,5 memory,8 nets,3 linpack,2 peak,domestic dev
970,not Moscow,3 cpu,2 cores,3 nodes,6 memory,8 nets,3 linpack,3 peak,domestic dev
971,not Moscow,6 cpu,3 cores,4 nodes,9 memory,4 nets,3 linpack,3 peak,domestic dev
972,Moscow,1 cpu,3 cores,1 nodes,5 memory,6 nets,4 linpack,4 peak,foreign dev
973,not Moscow,9 cpu,5 cores,9 nodes,8 memory,6 nets,4 linpack,4 peak,joint dev
974,Moscow,7 cpu,8 cores,7 nodes,4 memory,1 nets,4 linpack,5 peak,domestic dev
975,Moscow,4 cpu,5 cores,4 nodes,2 memory,4 nets,5 linpack,5 peak,domestic dev
976,not Moscow,10 cpu,10 cores,10 nodes,9 memory,3 nets,5 linpack,6 peak,domestic dev
977,not Moscow,2 cpu,4 cores,2 nodes,3 memory,9 nets,5 linpack,6 peak,domestic dev
978,Moscow,9 cpu,8 cores,9 nodes,9 memory,2 nets,5 linpack,4 peak,foreign dev
979,not Moscow,5 cpu,7 cores,5 nodes,5 memory,9 nets,6 linpack,7 peak,domestic dev
980,Moscow,8 cpu,6 cores,8 nodes,10 memory,10 nets,6 linpack,5 peak,foreign dev
981,not Moscow,1 cpu,3 cores,2 nodes,10 memory,10 nets,6 linpack,5 peak,foreign dev
982,not Moscow,4 cpu,5 cores,4 nodes,6 memory,8 nets,6 linpack,8 peak,foreign dev
983,Moscow,10 cpu,6 cores,8 nodes,10 memory,5 nets,7 linpack,7 peak,domestic dev
984,Moscow,6 cpu,7 cores,6 nodes,2 memory,9 nets,7 linpack,6 peak,foreign dev
985,Moscow,3 cpu,5 cores,3 nodes,7 memory,10 nets,7 linpack,8 peak,domestic dev
986,Moscow,9 cpu,10 cores,9 nodes,8 memory,1 nets,7 linpack,9 peak,domestic dev
987,not Moscow,5 cpu,6 cores,5 nodes,3 memory,9 nets,8 linpack,7 peak,foreign dev
988,Moscow,7 cpu,9 cores,7 nodes,4 memory,5 nets,8 linpack,9 peak,foreign dev
989,Moscow,8 cpu,7 cores,9 nodes,7 memory,6 nets,8 linpack,6 peak,domestic dev
990,not Moscow,9 cpu,8 cores,10 nodes,8 memory,7 nets,8 linpack,7 peak,joint dev
991,not Moscow,4 cpu,7 cores,5 nodes,5 memory,8 nets,9 linpack,8 peak,domestic dev
992,Moscow,7 cpu,9 cores,7 nodes,6 memory,2 nets,9 linpack,10 peak,foreign dev
993,not Moscow,10 cpu,10 cores,10 nodes,10 memory,4 nets,9 linpack,8 peak,domestic dev
994,not Moscow,8 cpu,9 cores,8 nodes,7 memory,10 nets,9 linpack,10 peak,domestic dev
995,not Moscow,10 cpu,8 cores,10 nodes,9 memory,6 nets,10 linpack,9 peak,foreign dev
996,Moscow,7 cpu,10 cores,7 nodes,7 memory,7 nets,10 linpack,10 peak,domestic dev
997,not Moscow,6 cpu,6 cores,6 nodes,6 memory,7 nets,10 linpack,9 peak,domestic dev
998,Moscow,8 cpu,9 cores,8 nodes,8 memory,2 nets,10 linpack,10 peak,foreign dev
999,Moscow,2 cpu,1 cores,1 nodes,1 memory,4 nets,1 linpack,1 peak,domestic dev
1000,Moscow,1 cpu,1 cores,1 nodes,1 memory,9 nets,1 linpack,1 peak,domestic dev
1001,not Moscow,2 cpu,2 cores,2 nodes,2 memory,6 nets,1 linpack,1 peak,domestic dev
1002,Moscow,5 cpu,2 cores,5 nodes,4 memory,5 nets,2 linpack,2 peak,domestic dev
1003,Moscow,6 cpu,4 cores,6 nodes,3 memory,6 nets,2 linpack,2 peak,domestic dev
1004,Moscow,3 cpu,4 cores,3 nodes,2 memory,5 nets,2 linpack,3 peak,joint dev
1005,not Moscow,5 cpu,1 cores,6 nodes,5 memory,9 nets,3 linpack,2 peak,domestic dev
1006,not Moscow,3 cpu,2 cores,3 nodes,6 memory,8 nets,3 linpack,3 peak,domestic dev
1007,not Moscow,6 cpu,3 cores,4 nodes,9 memory,3 nets,3 linpack,3 peak,domestic dev
1008,Moscow,6 cpu,6 cores,6 nodes,4 memory,2 nets,4 linpack,4 peak,domestic dev
1009,Moscow,1 cpu,3 cores,1 nodes,5 memory,7 nets,4 linpack,4 peak,foreign dev
1010,not Moscow,8 cpu,4 cores,9 nodes,8 memory,6 nets,4 linpack,4 peak,joint dev
1011,Moscow,7 cpu,8 cores,7 nodes,4 memory,1 nets,4 linpack,6 peak,domestic dev
1012,Moscow,4 cpu,5 cores,4 nodes,3 memory,5 nets,5 linpack,5 peak,domestic dev
1013,not Moscow,9 cpu,9 cores,9 nodes,9 memory,3 nets,5 linpack,6 peak,domestic dev
1014,not Moscow,2 cpu,4 cores,2 nodes,3 memory,7 nets,5 linpack,6 peak,domestic dev
1015,Moscow,8 cpu,8 cores,8 nodes,8 memory,3 nets,5 linpack,4 peak,foreign dev
1016,Moscow,5 cpu,6 cores,5 nodes,1 memory,8 nets,6 linpack,5 peak,foreign dev
1017,not Moscow,5 cpu,7 cores,5 nodes,5 memory,8 nets,6 linpack,7 peak,domestic dev
1018,Moscow,7 cpu,6 cores,7 nodes,10 memory,10 nets,6 linpack,5 peak,foreign dev
1019,not Moscow,8 cpu,9 cores,8 nodes,7 memory,8 nets,6 linpack,8 peak,domestic dev
1020,not Moscow,1 cpu,3 cores,2 nodes,10 memory,10 nets,7 linpack,5 peak,foreign dev
1021,not Moscow,4 cpu,5 cores,4 nodes,6 memory,9 nets,7 linpack,8 peak,foreign dev
1022,Moscow,9 cpu,6 cores,8 nodes,10 memory,2 nets,7 linpack,7 peak,domestic dev
1023,not Moscow,4 cpu,5 cores,5 nodes,2 memory,5 nets,7 linpack,7 peak,foreign dev
1024,Moscow,10 cpu,10 cores,10 nodes,9 memory,1 nets,8 linpack,8 peak,domestic dev
1025,Moscow,3 cpu,5 cores,3 nodes,7 memory,10 nets,8 linpack,9 peak,domestic dev
1026,not Moscow,9 cpu,10 cores,9 nodes,6 memory,1 nets,8 linpack,9 peak,domestic dev
1027,Moscow,6 cpu,9 cores,6 nodes,4 memory,4 nets,8 linpack,10 peak,foreign dev
1028,Moscow,8 cpu,7 cores,8 nodes,7 memory,6 nets,9 linpack,6 peak,domestic dev
1029,not Moscow,10 cpu,8 cores,10 nodes,8 memory,4 nets,9 linpack,9 peak,domestic dev
1030,not Moscow,9 cpu,8 cores,9 nodes,8 memory,7 nets,9 linpack,7 peak,joint dev
1031,not Moscow,4 cpu,7 cores,4 nodes,5 memory,9 nets,9 linpack,9 peak,domestic dev
1032,Moscow,7 cpu,9 cores,7 nodes,6 memory,4 nets,10 linpack,10 peak,foreign dev
1033,not Moscow,10 cpu,10 cores,10 nodes,10 memory,2 nets,10 linpack,8 peak,domestic dev
1034,not Moscow,7 cpu,10 cores,7 nodes,7 memory,10 nets,10 linpack,10 peak,domestic dev
1035,not Moscow,10 cpu,7 cores,10 nodes,9 memory,7 nets,10 linpack,10 peak,foreign dev
1036,Moscow,1 cpu,1 cores,1 nodes,1 memory,5 nets,1 linpack,1 peak,domestic dev
1037,Moscow,1 cpu,1 cores,1 nodes,1 memory,9 nets,1 linpack,1 peak,domestic dev
1038,not Moscow,2 cpu,2 cores,2 nodes,2 memory,5 nets,1 linpack,1 peak,domestic dev
1039,Moscow,4 cpu,1 cores,4 nodes,3 memory,5 nets,1 linpack,2 peak,domestic dev
1040,Moscow,5 cpu,3 cores,5 nodes,3 memory,7 nets,2 linpack,1 peak,domestic dev
1041,Moscow,2 cpu,3 cores,2 nodes,2 memory,6 nets,2 linpack,2 peak,joint dev
1042,not Moscow,4 cpu,1 cores,5 nodes,5 memory,8 nets,2 linpack,2 peak,domestic dev
1043,not Moscow,3 cpu,2 cores,3 nodes,6 memory,9 nets,2 linpack,2 peak,domestic dev
1044,not Moscow,3 cpu,3 cores,4 nodes,1 memory,1 nets,3 linpack,3 peak,joint dev
1045,not Moscow,5 cpu,2 cores,3 nodes,9 memory,3 nets,3 linpack,3 peak,domestic dev
1046,Moscow,5 cpu,5 cores,5 nodes,3 memory,3 nets,3 linpack,4 peak,domestic dev
1047,not Moscow,6 cpu,6 cores,6 nodes,5 memory,6 nets,3 linpack,4 peak,foreign dev
1048,Moscow,1 cpu,2 cores,1 nodes,4 memory,7 nets,4 linpack,3 peak,foreign dev
1049,not Moscow,8 cpu,4 cores,8 nodes,7 memory,7 nets,4 linpack,3 peak,joint dev
1050,Moscow,6 cpu,7 cores,6 nodes,4 memory,2 nets,4 linpack,5 peak,domestic dev
1051,Moscow,3 cpu,4 cores,3 nodes,2 memory,6 nets,4 linpack,5 peak,domestic dev
1052,not Moscow,9 cpu,9 cores,9 nodes,8 memory,4 nets,5 linpack,6 peak,domestic dev
1053,not Moscow,2 cpu,4 cores,2 nodes,3 memory,8 nets,5 linpack,6 peak,domestic dev
1054,Moscow,7 cpu,7 cores,8 nodes,8 memory,4 nets,5 linpack,4 peak,foreign dev
1055,Moscow,5 cpu,6 cores,5 nodes,1 memory,8 nets,5 linpack,5 peak,foreign dev
1056,not Moscow,4 cpu,6 cores,4 nodes,4 memory,9 nets,6 linpack,7 peak,domestic dev
1057,Moscow,7 cpu,5 cores,7 nodes,9 memory,10 nets,6 linpack,4 peak,foreign dev
1058,not Moscow,7 cpu,8 cores,7 nodes,6 memory,9 nets,6 linpack,8 peak,domestic dev
1059,not Moscow,1 cpu,3 cores,1 nodes,10 memory,10 nets,6 linpack,5 peak,foreign dev
1060,not Moscow,3 cpu,5 cores,3 nodes,5 memory,10 nets,7 linpack,9 peak,foreign dev
1061,Moscow,10 cpu,10 cores,10 nodes,10 memory,1 nets,7 linpack,7 peak,foreign dev
1062,Moscow,10 cpu,10 cores,10 nodes,10 memory,1 nets,7 linpack,7 peak,foreign dev
1063,Moscow,9 cpu,6 cores,7 nodes,10 memory,3 nets,7 linpack,8 peak,domestic dev
1064,not Moscow,9 cpu,9 cores,9 nodes,7 memory,3 nets,8 linpack,8 peak,domestic dev
1065,not Moscow,4 cpu,5 cores,4 nodes,2 memory,6 nets,8 linpack,6 peak,foreign dev
1066,Moscow,10 cpu,9 cores,10 nodes,9 memory,2 nets,8 linpack,8 peak,domestic dev
1067,Moscow,2 cpu,4 cores,2 nodes,7 memory,10 nets,8 linpack,9 peak,domestic dev
1068,Moscow,8 cpu,10 cores,8 nodes,5 memory,2 nets,9 linpack,9 peak,domestic dev
1069,not Moscow,8 cpu,9 cores,9 nodes,6 memory,2 nets,9 linpack,10 peak,domestic dev
1070,Moscow,6 cpu,8 cores,6 nodes,4 memory,5 nets,9 linpack,10 peak,foreign dev
1071,Moscow,7 cpu,7 cores,7 nodes,6 memory,7 nets,9 linpack,6 peak,domestic dev
1072,not Moscow,10 cpu,10 cores,10 nodes,9 memory,1 nets,10 linpack,10 peak,domestic dev
1073,not Moscow,9 cpu,7 cores,9 nodes,8 memory,4 nets,10 linpack,9 peak,domestic dev
1074,Moscow,6 cpu,8 cores,6 nodes,7 memory,4 nets,10 linpack,10 peak,foreign dev
1075,not Moscow,8 cpu,8 cores,8 nodes,8 memory,8 nets,10 linpack,7 peak,joint dev
1076,Moscow,2 cpu,1 cores,1 nodes,1 memory,4 nets,1 linpack,1 peak,domestic dev
1077,Moscow,1 cpu,1 cores,2 nodes,1 memory,8 nets,1 linpack,1 peak,joint dev
1078,Moscow,1 cpu,1 cores,1 nodes,1 memory,10 nets,1 linpack,1 peak,domestic dev
1079,Moscow,2 cpu,2 cores,2 nodes,1 memory,7 nets,1 linpack,1 peak,joint dev
1080,not Moscow,2 cpu,2 cores,2 nodes,2 memory,6 nets,2 linpack,2 peak,domestic dev
1081,Moscow,4 cpu,2 cores,4 nodes,3 memory,5 nets,2 linpack,2 peak,domestic dev
1082,not Moscow,4 cpu,1 cores,5 nodes,5 memory,9 nets,2 linpack,2 peak,domestic dev
1083,not Moscow,3 cpu,2 cores,3 nodes,6 memory,9 nets,2 linpack,2 peak,domestic dev
1084,not Moscow,3 cpu,3 cores,4 nodes,2 memory,1 nets,3 linpack,3 peak,joint dev
1085,not Moscow,5 cpu,3 cores,3 nodes,9 memory,4 nets,3 linpack,3 peak,domestic dev
1086,not Moscow,10 cpu,7 cores,10 nodes,8 memory,8 nets,3 linpack,3 peak,foreign dev
1087,Moscow,5 cpu,4 cores,5 nodes,3 memory,3 nets,3 linpack,3 peak,domestic dev
1088,not Moscow,6 cpu,6 cores,6 nodes,4 memory,5 nets,4 linpack,5 peak,foreign dev
1089,Moscow,1 cpu,3 cores,1 nodes,4 memory,7 nets,4 linpack,4 peak,foreign dev
1090,not Moscow,7 cpu,4 cores,8 nodes,7 memory,8 nets,4 linpack,4 peak,joint dev
1091,not Moscow,8 cpu,10 cores,9 nodes,6 memory,3 nets,4 linpack,4 peak,domestic dev
1092,Moscow,6 cpu,7 cores,6 nodes,4 memory,1 nets,5 linpack,7 peak,domestic dev
1093,Moscow,3 cpu,4 cores,3 nodes,3 memory,6 nets,5 linpack,6 peak,domestic dev
1094,not Moscow,8 cpu,9 cores,8 nodes,8 memory,5 nets,5 linpack,7 peak,domestic dev
1095,Moscow,9 cpu,7 cores,9 nodes,10 memory,2 nets,5 linpack,5 peak,domestic dev
1096,not Moscow,2 cpu,4 cores,2 nodes,3 memory,10 nets,6 linpack,7 peak,domestic dev
1097,Moscow,7 cpu,7 cores,7 nodes,8 memory,4 nets,6 linpack,4 peak,foreign dev
1098,not Moscow,7 cpu,8 cores,7 nodes,7 memory,7 nets,6 linpack,9 peak,joint dev
1099,not Moscow,6 cpu,8 cores,7 nodes,7 memory,7 nets,6 linpack,9 peak,joint dev
1100,Moscow,10 cpu,10 cores,10 nodes,10 memory,2 nets,7 linpack,6 peak,foreign dev
1101,Moscow,10 cpu,10 cores,10 nodes,9 memory,1 nets,7 linpack,6 peak,foreign dev
1102,not Moscow,5 cpu,5 cores,5 nodes,5 memory,9 nets,7 linpack,8 peak,domestic dev
1103,Moscow,5 cpu,6 cores,5 nodes,2 memory,10 nets,7 linpack,5 peak,foreign dev
1104,not Moscow,4 cpu,6 cores,4 nodes,4 memory,9 nets,8 linpack,9 peak,domestic dev
1105,Moscow,6 cpu,5 cores,6 nodes,9 memory,10 nets,8 linpack,5 peak,foreign dev
1106,Moscow,10 cpu,10 cores,10 nodes,9 memory,2 nets,8 linpack,7 peak,foreign dev
1107,not Moscow,1 cpu,3 cores,1 nodes,10 memory,10 nets,8 linpack,6 peak,foreign dev
1108,not Moscow,9 cpu,8 cores,8 nodes,7 memory,3 nets,9 linpack,8 peak,domestic dev
1109,not Moscow,3 cpu,5 cores,3 nodes,6 memory,8 nets,9 linpack,10 peak,foreign dev
1110,Moscow,10 cpu,10 cores,10 nodes,10 memory,1 nets,9 linpack,8 peak,foreign dev
1111,not Moscow,7 cpu,8 cores,7 nodes,5 memory,5 nets,9 linpack,10 peak,foreign dev
1112,Moscow,9 cpu,6 cores,6 nodes,10 memory,6 nets,10 linpack,9 peak,domestic dev
1113,not Moscow,4 cpu,5 cores,4 nodes,2 memory,6 nets,10 linpack,8 peak,foreign dev
1114,not Moscow,9 cpu,9 cores,9 nodes,8 memory,2 nets,10 linpack,10 peak,domestic dev
1115,Moscow,8 cpu,9 cores,8 nodes,5 memory,4 nets,10 linpack,10 peak,domestic dev
1116,not Moscow,8 cpu,9 cores,9 nodes,6 memory,3 nets,10 linpack,10 peak,domestic dev
